ID	type	label	popup	size	URL	description	short_name	Nsequences	Nfamilies	cdd_code
cdd_261334	cdd	VHS_ENTH_ANTH	N/A	77.5643	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl02544	N/A. AP180 is an endocytotic accessory proteins that has been implicated in the formation of clathrin-coated pits.  The domain is involved in phosphatidylinositol 4,5-bisphosphate binding and is a universal adaptor for nucleation of clathrin coats.	VHS_ENTH_ANTH	275	17	cl02544
cdd_247903	cdd	Peptidase_M54	Peptidase family M54, also called archaemetzincins or archaelysins	70.9313	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl17349	Peptidase family M54, also called archaemetzincins or archaelysins. archaemetzincin-like protein; Reviewed	Peptidase_M54	102	4	cl17349
cdd_260768	cdd	SGNH_hydrolase	N/A	86.4154	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl01053	N/A. The PC-Esterase family is comprised of Cas1p, the Homo sapiens C7orf58, Arabidopsis thaliana PMR5 and a group of plant freezing resistance/coldacclimatization proteins typified by Arabidopsis thaliana ESKIMO1. animal FAM55D proteins, and animal FAM113 proteins. The PC-Esterase family has features that are both similar and different from the canonical GDSL/SGNH superfamily. The members of this family are predicted to have Acyl esterase activity and predicted to modify cell-surface biopolymers such as glycans and glycoproteins. The Cas1p protein has a Cas1_AcylT domain, in addition, with the opposing acyltransferase activity. The C7orf58 family has a ATP-Grasp domain fused to the PC-Esterase and is the first identified secreted tubulin-tyrosine ligase like enzyme in eukaryotes. The plant family with PMR5, ESK1, TBL3 etc have a N-terminal C rich potential sugar binding domain followed by the PC-Esterase domain.	SGNH_hydrolase	1033	40	cl01053
cdd_266669	cdd	WHTH_GntR	Winged helix-turn-helix (WHTH) DNA-binding domain of the GntR family of transcriptional regulators	80.3164	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl17414	Winged helix-turn-helix (WHTH) DNA-binding domain of the GntR family of transcriptional regulators. This family of regulatory proteins consists of the N-terminal HTH region of GntR-like bacterial transcription factors. At the C-terminus there is usually an effector-binding/oligomerization domain. The GntR-like proteins include the following sub-families: MocR, YtrR, FadR, AraR, HutC and PlmA, DevA, DasR. Many of these proteins have been shown experimentally to be autoregulatory, enabling the prediction of operator sites and the discovery of cis/trans relationships. The DasR regulator has been shown to be a global regulator of primary metabolizm and development in Streptomyces coelicolor.	WHTH_GntR	415	4	cl17414
cdd_153432	cdd	GH7_CBH_EG	Glycosyl hydrolase family 7	59.3305	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cd07999	Glycosyl hydrolase family 7. Glycosyl hydrolase family 7 contains eukaryotic endoglucanases (EGs) and cellobiohydrolases (CBHs) that hydrolyze glycosidic bonds using a double-displacement mechanism. This leads to a net retention of the conformation at the anomeric carbon. Both enzymes work synergistically in the degradation of cellulose,which is the main component of plant cell wall, and is composed of beta-1,4 linked glycosyl units. EG cleaves the beta-1,4 linkages of cellulose and CBH cleaves off cellobiose disaccharide units from the reducing end of the chain. In general, the O-glycosyl hydrolases are a widespread group of enzymes that hydrolyze the glycosidic bond between two or more carbohydrates, or between a carbohydrate and a non-carbohydrate moiety. A glycosyl hydrolase classification system based on sequence similarity has led to the definition of more than 95 different families inlcuding glycoside hydrolase family 7.	GH7_CBH_EG	18	1	cd07999
cdd_267297	cdd	AAA	N/A	72.7061	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl18944	N/A. This family of proteins are part of the AAA superfamily.	AAA	133	48	cl18944
cdd_267298	cdd	AAT_I	N/A	86.1715	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl18945	N/A. These proteins catalyse the reversible transfer of an amino group from the amino acid substrate to an acceptor alpha-keto acid. They require pyridoxal 5'-phosphate (PLP) as a cofactor to catalyse this reaction. Trans-amination reactions are of central importance in amino acid metabolizm and in links to carbohydrate and fat metabolizm. This class of aminotransferases acts as dimers in a head-to-tail configuration.	AAT_I	996	274	cl18945
cdd_266502	cdd	NBD_sugar-kinase_HSP70_actin	Nucleotide-Binding Domain of the sugar kinase/HSP70/actin superfamily	90.6371	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl17037	Nucleotide-Binding Domain of the sugar kinase/HSP70/actin superfamily. Hexokinase (EC:2.7.1.1) contains two structurally similar domains represented by this family and pfam03727. Some members of the family have two copies of each of these domains.	NBD_sugar-kinase_HSP70_actin	1942	69	cl17037
cdd_263718	cdd	Sortase	N/A	78.1015	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl09098	N/A. The founder member of this family is S.aureus sortase, a transpeptidase that attaches surface proteins by the threonine of an LPXTG motif to the cell wall.	Sortase	298	14	cl09098
cdd_243239	cdd	POLO_box	Polo-box domain (PBD), a C-terminal tandemly repeated region of polo-like kinases	78.6609	http://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=cl02916	Polo-box domain (PBD), a C-terminal tandemly repeated region of polo-like kinases. The polo-like Ser/Thr kinases (Plk1, Plk2/Snk, Plk3/Prk/Fnk, Plk4/Sak, and the inactive kinase Plk5) play various roles in cytokinesis and mitosis. At their C-terminus, they contain a tandemly repeated polo-box domain (in the case of Plk4, a tandem repeat of cryptic PBDs is found in the middle of the protein followed by a C-terminal single repeat), which appears to be involved in autoinhibition and in mediating the subcellular localization. The latter may be controlled via interactions between the polo-box domain and phospho-peptide motifs. The phosphopeptide binding site is formed at the interface between the two tandemly repeated PBDs. The PBDs of Plk4/Sak appear unique in participating in homodimer interactions, though it is not clear whether and how they interact with phosphopeptides.	POLO_box	324	7	cl02916
