edge	weight	E1_cov	E1_hits	E10_cov	E10_hits	E100_cov	E100_hits	E1000_cov	E1000_hits
profile_274 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_269 (EFL) cdd_266551	0.0011	0.00027	1	0.00027	1	0.0011	4	0.008	29
profile_55 (EFL) cdd_267455	0.15	0.15	9	0.15	9	0.15	9	0.15	9
profile_129 (EFL) cdd_260398	0.00013	0.00013	1	0.00013	1	0.00013	1	0.00051	4
profile_176 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_304 (EFL) cdd_265473	0.023	0.0058	2	0.0088	3	0.023	8	0.053	18
profile_213 (EFL) cdd_263940	0.00052	0.00017	1	0.00017	1	0.00052	3	0.0019	11
profile_64 (EFL) cdd_260137	0.0029	0.0029	1	0.0029	1	0.0029	1	0.0029	1
profile_142 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0036	13
profile_138 (EFL) cdd_265413	0.074	0.048	145	0.051	154	0.074	224	0.12	372
profile_278 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00082	3
profile_33 (EFL) cdd_264346	0.46	0.31	269	0.31	269	0.46	409	0.65	569
profile_274 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_4 (EFL) cdd_260305	0.78	0.64	536	0.7	586	0.78	657	0.82	693
profile_59 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_35 (EFL) cdd_266569	0.0028	0.0028	1	0.0028	1	0.0028	1	0.0056	2
profile_107 (EFL) cdd_261300	0.0043	0.00096	2	0.00096	2	0.0043	9	0.063	132
profile_107 (EFL) cdd_266645	0.013	0.0019	1	0.0019	1	0.013	7	0.11	60
profile_197 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_156 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00027	1
profile_86 (EFL) cdd_266526	0.0062	0.00014	1	0.00014	1	0.0062	43	0.13	894
profile_75 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.001	2
profile_279 (EFL) cdd_263946	0.0012	0.0012	1	0.0012	1	0.0012	1	0.0047	4
profile_54 (EFL) cdd_241585	0.013	0.0063	1	0.0063	1	0.013	2	0.019	3
profile_71 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.00052	1
profile_293 (EFL) cdd_266547	0.68	0.43	121	0.6	168	0.68	191	0.74	209
profile_97 (EFL) cdd_266538	0.02	0.02	66	0.02	66	0.02	67	0.022	72
profile_95 (EFL) cdd_260534	0.1	0.058	40	0.063	43	0.1	69	0.12	85
profile_107 (EFL) cdd_266485	0.0076	0.00025	1	0.00049	2	0.0076	31	0.1	419
profile_170 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.00055	2
profile_224 (EFL) cdd_260323	0.005	0.0012	1	0.0025	2	0.005	4	0.0075	6
profile_19 (EFL) cdd_260683	0.82	0.69	46	0.69	46	0.82	55	0.94	63
profile_114 (EFL) cdd_266538	0.06	0.058	193	0.058	193	0.06	200	0.062	207
profile_47 (EFL) cdd_261709	0.0071	0.0071	1	0.0071	1	0.0071	1	0.0071	1
profile_200 (EFL) cdd_265655	0.00057	0.00057	1	0.00057	1	0.00057	1	0.0023	4
profile_196 (EFL) cdd_266552	0.001	0.00052	1	0.00052	1	0.001	2	0.001	2
profile_123 (EFL) cdd_263929	0.36	0.28	299	0.28	305	0.36	385	0.46	493
profile_107 (EFL) cdd_266534	0.0032	0.0011	1	0.0011	1	0.0032	3	0.057	54
profile_38 (EFL) cdd_261741	0.13	0.037	5	0.052	7	0.13	18	0.57	77
profile_164 (EFL) cdd_266552	0.00052	0.00052	1	0.00052	1	0.00052	1	0.0016	3
profile_138 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_90 (EFL) cdd_266541	0.015	0.00091	1	0.0018	2	0.015	16	0.12	135
profile_75 (EFL) cdd_266526	0.00029	0.00014	1	0.00014	1	0.00029	2	0.0011	8
profile_225 (EFL) cdd_260315	0.64	0.62	65	0.62	65	0.64	67	0.65	68
profile_235 (EFL) cdd_263925	0.082	0.034	101	0.064	192	0.082	244	0.2	593
profile_55 (EFL) cdd_100105	0.035	0.018	1	0.018	1	0.035	2	0.035	2
profile_182 (EFL) cdd_262530	0.03	0.02	4	0.02	4	0.03	6	0.21	41
profile_51 (EFL) cdd_264352	0.0059	0.0012	1	0.0012	1	0.0059	5	0.014	12
profile_304 (EFL) cdd_263942	0.0019	0.00023	1	0.00069	3	0.0019	8	0.0051	22
profile_246 (EFL) cdd_260256	0.26	0.23	33	0.23	33	0.26	37	0.3	43
profile_288 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0036	13
profile_113 (EFL) cdd_263922	0.15	0.11	90	0.12	94	0.15	120	0.18	146
profile_300 (EFL) cdd_264354	0.0024	0.0008	1	0.0016	2	0.0024	3	0.0064	8
profile_66 (EFL) cdd_264509	0.46	0.39	279	0.39	280	0.46	327	0.58	414
profile_150 (EFL) cdd_260310	0.1	0.096	12	0.096	12	0.1	13	0.1	13
profile_202 (EFL) cdd_266552	0.014	0.013	26	0.013	26	0.014	27	0.015	28
profile_133 (EFL) cdd_266580	0.042	0.041	103	0.042	104	0.042	106	0.044	111
profile_49 (EFL) cdd_266540	0.19	0.17	80	0.17	81	0.19	87	0.19	88
profile_218 (EFL) cdd_266695	0.043	0.043	3	0.043	3	0.043	3	0.072	5
profile_128 (EFL) cdd_266551	0.00027	0.00027	1	0.00027	1	0.00027	1	0.0011	4
profile_89 (EFL) cdd_266551	0.00055	0.00027	1	0.00027	1	0.00055	2	0.0019	7
